Variable;t=6.189s;t=6.957s;t=7.758s;t=8.575s;t=9.889s;t=10.628s;t=11.451s;t=12.295s;t=13.111s;t=13.939s;t=14.739s
GVL_Troubleshooting.AssistanceDragage.Idx101_EnableDiveSearch;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx102_EnableExtractionSequence;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx103_EnableDumpAtTremie;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx201_DiveReady;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx202_DiveBusy;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx203_DiveDone;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx204_DiveState;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS;E_DiveSearchState.WAIT_PRECONDITIONS
GVL_Troubleshooting.AssistanceDragage.Idx205_DiveError;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx206_DiveErrorId;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0;WORD#0
GVL_Troubleshooting.AssistanceDragage.Idx207_BottomTouchConfirmed;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx301_ExtractionReady;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx302_ExtractionBusy;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx303_ExtractionDone;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
