Variable;Valeur
GVL_Troubleshooting.ContexteMachineGlobal.Idx101_ModeActive;E_Mode.DISABLE
GVL_Troubleshooting.ContexteMachineGlobal.Idx102_SimulationEnabled;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx103_JoystickCommOk;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx201_JoystickSelected;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx202_BypassNetworkGlobal;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx203_BypassSensorsGlobal;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx301_EmergencyChainClosed;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx302_PowerContactorEngaged;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx303_SafeStopActiveAny;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx304_PowerCutOffActiveAny;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx401_HmiHeartbeatOk;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx402_CycleAutoBusy;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx101_M1_CablePos_M;REAL#244.140625
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx102_M2_CablePos_M;REAL#244.140625
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx103_SyncDelta_M;REAL#0
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx201_JoyYRaw_Pct;REAL#0
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx202_SyncEnabled_IHM;TRUE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx203_ArbitratedSpeed_Pct;REAL#0
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx301_EmergencyChainClosed;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx302_SyncFaultActive;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx303_M1_AscentPermit;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx304_M2_AscentPermit;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx401_SyncMotionAllowed;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx402_M1_SetpointSpeed_Pct;REAL#0
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx403_M2_SetpointSpeed_Pct;REAL#0
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx501_M1_CmdRelayFwd_DQ;FALSE
GVL_Troubleshooting.LevageSynchroniseM1M2.Idx502_M2_CmdRelayFwd_DQ;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Inputs_100.Idx101_EncoderRawPos;DINT#0
GVL_Troubleshooting.LevageUnitaireM1.Inputs_100.Idx102_CablePos_M;REAL#244.140625
