AF;Fonction;TC_couvrants;Couverture_detail;CI_declare;Hors_CI_explicite;TC_absent_du_CI;Fonction_sans_TC
AF-01;F01.01;TC-P01-001;TC-P01-001 🟡 SITE;NON;OUI;NON;NON
AF-01;F01.02;TC-P01-002;TC-P01-002 ✅ CI;OUI;NON;NON;NON
AF-01;F01.03;TC-P01-003, TC-P01-005;TC-P01-003 ✅ CI | TC-P01-005 🟡 Hors CI (registre);OUI;OUI;NON;NON
AF-01;F01.04;TC-P01-004, TC-P01-009;TC-P01-004 ✅ CI | TC-P01-009 ✅ CI;OUI;NON;NON;NON
AF-01;F01.05;TC-P01-006;TC-P01-006 ✅ CI;OUI;NON;NON;NON
AF-01;F01.06;TC-P01-007;TC-P01-007 ✅ CI;OUI;NON;NON;NON
AF-01;F01.07;TC-P01-008;TC-P01-008 ✅ CI;OUI;NON;NON;NON
AF-01;F01.08;TC-P01-010;TC-P01-010 ✅ CI;OUI;NON;NON;NON
AF-02;F02.01;TC-P02-004;TC-P02-004 ❌ absent;NON;NON;OUI;NON
AF-02;F02.02;TC-P02-002;TC-P02-002 ❌ absent;NON;NON;OUI;NON
AF-02;F02.03;TC-P02-001;TC-P02-001 ❌ absent;NON;NON;OUI;NON
AF-02;F02.04;TC-P02-003;TC-P02-003 ❌ absent;NON;NON;OUI;NON
AF-02;F02.05;TC-P02-004;TC-P02-004 ❌ absent;NON;NON;OUI;NON
AF-02;F02.06;TC-P02-005;TC-P02-005 ❌ absent;NON;NON;OUI;NON
AF-06;F06.01;TC-P06-007;TC-P06-007 ❌ absent;NON;NON;OUI;NON
AF-08;F08.01;TC-P08-010;TC-P08-010 ❌ absent;NON;NON;OUI;NON
AF-08;F08.02;TC-P08-010;TC-P08-010 ❌ absent;NON;NON;OUI;NON
AF-08;F08.03;TC-P08-020;TC-P08-020 ❌ absent;NON;NON;OUI;NON
AF-08;F08.04;TC-P08-020;TC-P08-020 ❌ absent;NON;NON;OUI;NON
AF-08;F08.05;TC-P08-030;TC-P08-030 ❌ absent;NON;NON;OUI;NON
AF-08;F08.06;TC-P08-040;TC-P08-040 ❌ absent;NON;NON;OUI;NON
AF-08;F08.07;TC-P08-050;TC-P08-050 ❌ absent;NON;NON;OUI;NON
AF-08;F08.08;TC-P08-060;TC-P08-060 ❌ absent;NON;NON;OUI;NON
AF-09;F09.01;TC-P09-010;TC-P09-010 ✅ CI;OUI;NON;NON;NON
AF-09;F09.02;TC-P09-020;TC-P09-020 ❌ absent;NON;NON;OUI;NON
AF-09;F09.03;TC-P09-020;TC-P09-020 ❌ absent;NON;NON;OUI;NON
AF-09;F09.04;TC-P09-030;TC-P09-030 ❌ absent;NON;NON;OUI;NON
AF-09;F09.05;TC-P09-030;TC-P09-030 ❌ absent;NON;NON;OUI;NON
AF-09;F09.06;TC-P09-040;TC-P09-040 ❌ absent;NON;NON;OUI;NON
AF-09;F09.07;TC-P09-050;TC-P09-050 ✅ CI;OUI;NON;NON;NON
AF-10;F10.01;TC-P10-011;TC-P10-011 ✅ CI;OUI;NON;NON;NON
AF-10;F10.02;TC-P10-001;TC-P10-001 ✅ CI;OUI;NON;NON;NON
AF-10;F10.03;TC-P10-014;TC-P10-014 ❌ absent;NON;NON;OUI;NON
AF-10;F10.04;TC-P10-012;TC-P10-012 ❌ absent;NON;NON;OUI;NON
AF-10;F10.05;TC-P10-023;TC-P10-023 ✅ CI;OUI;NON;NON;NON
AF-10;F10.06;—;❌ Sans TC;NON;NON;NON;OUI
AF-10;F10.07;—;❌ Sans TC;NON;NON;NON;OUI
AF-10;F10.08;—;❌ Sans TC;NON;NON;NON;OUI
AF-10;F10.09;—;❌ Sans TC;NON;NON;NON;OUI
AF-11;F11.01;TC-P11-001;TC-P11-001 ✅ CI;OUI;NON;NON;NON
AF-11;F11.02;TC-P11-002;TC-P11-002 ❌ absent;NON;NON;OUI;NON
AF-11;F11.03;TC-P11-003;TC-P11-003 ❌ absent;NON;NON;OUI;NON
AF-11;F11.04;TC-P11-006;TC-P11-006 ❌ absent;NON;NON;OUI;NON
AF-11;F11.05;—;❌ Sans TC;NON;NON;NON;OUI
AF-12;F12.01;TC-P12-010;TC-P12-010 ✅ CI;OUI;NON;NON;NON
AF-12;F12.02;TC-P12-010;TC-P12-010 ✅ CI;OUI;NON;NON;NON
AF-12;F12.03;TC-P12-050;TC-P12-050 ❌ absent;NON;NON;OUI;NON
