nom,tier,type,fichier,ligne,bloc,pou,declaration
Error,T1(brief),BOOL,CODE/A_COMMUN/_TYPES/ST_Fault.st,19,STRUCT,,Error     : BOOL;
ErrorId,T1(brief),WORD,CODE/A_COMMUN/_TYPES/ST_Fault.st,20,STRUCT,,ErrorId   : WORD;
Latched,T2(elargi),BOOL,CODE/A_COMMUN/_TYPES/ST_Fault.st,21,STRUCT,,Latched   : BOOL;
LatchedId,T2(elargi),WORD,CODE/A_COMMUN/_TYPES/ST_Fault.st,22,STRUCT,,LatchedId : WORD;
Error,T1(brief),BOOL,CODE/A_COMMUN/_TYPES/ST_Status.st,21,STRUCT,,Error        : BOOL;
ErrorId,T1(brief),WORD,CODE/A_COMMUN/_TYPES/ST_Status.st,22,STRUCT,,ErrorId      : WORD;
StateAtError,T1(brief),E_State,CODE/A_COMMUN/_TYPES/ST_Status.st,24,STRUCT,,StateAtError : E_State;
Warning,T1(brief),BOOL,CODE/A_COMMUN/_TYPES/ST_Status.st,26,STRUCT,,Warning        : BOOL;
WarningId,T1(brief),WORD,CODE/A_COMMUN/_TYPES/ST_Status.st,27,STRUCT,,WarningId      : WORD;
WarningIdTxt,T1(brief),STRING,CODE/A_COMMUN/_TYPES/ST_Status.st,28,STRUCT,,WarningIdTxt   : STRING;
ErrorIdTxt,T1(brief),STRING,CODE/A_COMMUN/_TYPES/ST_Status.st,29,STRUCT,,ErrorIdTxt     : STRING;
PreflightErrorId,T1(brief),WORD,CODE/A_COMMUN/FB_Acquisition_Preflight.st,46,VAR_OUTPUT,FB_Acquisition_Preflight,PreflightErrorId        : WORD;
PreflightErrorId,T1(brief),= 0,CODE/A_COMMUN/FB_Acquisition_Preflight.st,63,?,FB_Acquisition_Preflight,PreflightErrorId := 0;
Fault,T1(brief),ST_Fault,CODE/A_COMMUN/FB_Brake.st,30,VAR_OUTPUT,FB_Brake,Fault                   : ST_Fault;
ContactorIncoherentError,T1(brief),BOOL,CODE/A_COMMUN/FB_Brake.st,48,VAR,FB_Brake,ContactorIncoherentError: BOOL;
instFault,T1(brief),FB_FaultCore,CODE/A_COMMUN/FB_Brake.st,49,VAR,FB_Brake,instFault               : FB_FaultCore;
ContactorIncoherentError,T1(brief),= FALSE,CODE/A_COMMUN/FB_Brake.st,62,?,FB_Brake,ContactorIncoherentError := FALSE;
Fault,T1(brief),= instFault.Fault,CODE/A_COMMUN/FB_Brake.st,85,?,FB_Brake,Fault := instFault.Fault;
ContactorIncoherentError,T1(brief),= TRUE,CODE/A_COMMUN/FB_Brake.st,119,?,FB_Brake,ContactorIncoherentError   := TRUE;
Fault,T1(brief),= instFault.Fault,CODE/A_COMMUN/FB_Brake.st,131,?,FB_Brake,Fault := instFault.Fault;
ActivationLatched,T2(elargi),BOOL,CODE/A_COMMUN/FB_ContactorProtector.st,26,VAR,FB_ContactorProtector,ActivationLatched : BOOL;
ActivationLatched,T2(elargi),= FALSE,CODE/A_COMMUN/FB_ContactorProtector.st,34,?,FB_ContactorProtector,ActivationLatched := FALSE;
ActivationLatched,T2(elargi),= TRUE,CODE/A_COMMUN/FB_ContactorProtector.st,53,?,FB_ContactorProtector,ActivationLatched := TRUE;
ActivationLatched,T2(elargi),= FALSE,CODE/A_COMMUN/FB_ContactorProtector.st,56,?,FB_ContactorProtector,ActivationLatched := FALSE;
DefaultValueS,T1(brief),REAL := 0.004,CODE/A_COMMUN/FB_CycleTime.st,13,VAR_INPUT,FB_CycleTime,DefaultValueS           : REAL := 0.004;
Fault,T1(brief),ST_Fault,CODE/A_COMMUN/FB_FaultCore.st,29,VAR_OUTPUT,FB_FaultCore,Fault   : ST_Fault;
Error,T1(brief),BOOL,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Diag.st,11,STRUCT,,Error                : BOOL;
ErrorId,T1(brief),WORD,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Diag.st,12,STRUCT,,ErrorId              : WORD;
Diag,T1(brief),ST_Safety_Emergency_Diag,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Status.st,23,STRUCT,,Diag            : ST_Safety_Emergency_Diag;
Fault,T1(brief),ST_Fault,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Status.st,26,STRUCT,,Fault           : ST_Fault;
MaintainA_NoFault,T1(brief),BOOL,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,82,VAR,FB_Safety_EmergencyManagement,MaintainA_NoFault         : BOOL;
MaintainB_NoFault,T1(brief),BOOL,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,83,VAR,FB_Safety_EmergencyManagement,MaintainB_NoFault         : BOOL;
instFault,T1(brief),FB_FaultCore,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,105,VAR,FB_Safety_EmergencyManagement,instFault               : FB_FaultCore;
CST_FaultDisplayDebounce,T1(brief),TIME := T#200ms,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,117,VAR CONSTANT,FB_Safety_EmergencyManagement,CST_FaultDisplayDebounce : TIME := T#200ms;
MaintainA_NoFault,T1(brief),= NOT ForceTestA AND NOT RedundancyTestFailedCause,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,532,?,FB_Safety_EmergencyManagement,MaintainA_NoFault := NOT ForceTestA AND NOT RedundancyTestFailedCause;
MaintainB_NoFault,T1(brief),= NOT ForceTestB AND NOT RedundancyTestFailedCause,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,533,?,FB_Safety_EmergencyManagement,MaintainB_NoFault := NOT ForceTestB AND NOT RedundancyTestFailedCause;
CST_ABORT_INVALID_STEP,T2(elargi),INT := 256,CODE/B_AU_SECURITE/GVL_Safety_Emergency.st,38,VAR_GLOBAL,,CST_ABORT_INVALID_STEP       : INT := 256;
DiagnosticsStable,T1(brief),BOOL,CODE/C_DIAG_RESEAUX/FB_AutoResetTransientDiag.st,20,VAR_INPUT,FB_AutoResetTransientDiag,DiagnosticsStable        : BOOL;
Error,T1(brief),BOOL,CODE/C_DIAG_RESEAUX/ST_Diag_Device.st,11,STRUCT,,Error          : BOOL;
ErrorId,T1(brief),WORD,CODE/C_DIAG_RESEAUX/ST_Diag_Device.st,12,STRUCT,,ErrorId        : WORD;
StateAtError,T1(brief),E_Diag_State,CODE/C_DIAG_RESEAUX/ST_Diag_Device.st,14,STRUCT,,StateAtError   : E_Diag_State;
Fault,T1(brief),ST_Fault,CODE/D_JOYSTICK/FB_Joystick.st,46,VAR_OUTPUT,FB_Joystick,Fault                     : ST_Fault;
instFault,T1(brief),FB_FaultCore,CODE/D_JOYSTICK/FB_Joystick.st,83,VAR,FB_Joystick,instFault                 : FB_FaultCore;
RawOutOfRange,T2(elargi),BOOL,CODE/D_JOYSTICK/FB_Joystick.st,101,VAR,FB_Joystick,RawOutOfRange             : BOOL;
Fault,T1(brief),= instFault.Fault,CODE/D_JOYSTICK/FB_Joystick.st,148,?,FB_Joystick,Fault := instFault.Fault;
RawOutOfRangeMargin,T2(elargi),INT  := 500,CODE/D_JOYSTICK/ST_fbJoystick_Cfg.st,18,STRUCT,,RawOutOfRangeMargin  : INT  := 500;
AlarmsIn,T1(brief),UINT,CODE/E_CODEURS/_TYPES/ST_EncoderHw.st,13,STRUCT,,AlarmsIn            : UINT;
WarningsIn,T1(brief),UINT,CODE/E_CODEURS/_TYPES/ST_EncoderHw.st,14,STRUCT,,WarningsIn          : UINT;
AlarmsIn,T1(brief),UINT,CODE/E_CODEURS/_TYPES/ST_fbEncoder_HwIn.st,18,STRUCT,,AlarmsIn           : UINT;
WarningsIn,T1(brief),UINT,CODE/E_CODEURS/_TYPES/ST_fbEncoder_HwIn.st,19,STRUCT,,WarningsIn         : UINT;
HomingFault,T1(brief),ST_Fault,CODE/E_CODEURS/_TYPES/ST_fbEncoder_Measurement.st,26,STRUCT,,HomingFault       : ST_Fault;
AbsFault,T1(brief),ST_Fault,CODE/E_CODEURS/_TYPES/ST_fbEncoder_Measurement.st,28,STRUCT,,AbsFault          : ST_Fault;
Fault,T1(brief),ST_Fault,CODE/E_CODEURS/FB_Encoder.st,54,VAR_OUTPUT,FB_Encoder,Fault                 : ST_Fault;
EncoderFault,T1(brief),BOOL,CODE/E_CODEURS/FB_Encoder.st,65,VAR_OUTPUT,FB_Encoder,EncoderFault          : BOOL;
instFault,T1(brief),FB_FaultCore,CODE/E_CODEURS/FB_Encoder.st,77,VAR,FB_Encoder,instFault      : FB_FaultCore;
EncoderFault,T1(brief),= TRUE,CODE/E_CODEURS/FB_Encoder.st,94,?,FB_Encoder,EncoderFault := TRUE;
Fault,T1(brief),= instFault.Fault,CODE/E_CODEURS/FB_Encoder.st,110,?,FB_Encoder,Fault := instFault.Fault;
EncoderFault,T1(brief),= instRel.EncoderFault,CODE/E_CODEURS/FB_Encoder.st,215,?,FB_Encoder,EncoderFault     := instRel.EncoderFault;
Fault,T1(brief),= instFault.Fault,CODE/E_CODEURS/FB_Encoder.st,235,?,FB_Encoder,Fault := instFault.Fault;
AlarmsIn,T1(brief),UINT,CODE/E_CODEURS/FB_Encoder_Abs.st,21,VAR_INPUT,FB_Encoder_Abs,AlarmsIn            : UINT;
WarningsIn,T1(brief),UINT,CODE/E_CODEURS/FB_Encoder_Abs.st,22,VAR_INPUT,FB_Encoder_Abs,WarningsIn          : UINT;
Fault,T1(brief),ST_Fault,CODE/E_CODEURS/FB_Encoder_Abs.st,35,VAR_OUTPUT,FB_Encoder_Abs,Fault               : ST_Fault;
PresetTimeoutError,T1(brief),BOOL,CODE/E_CODEURS/FB_Encoder_Abs.st,61,VAR,FB_Encoder_Abs,PresetTimeoutError  : BOOL;
instFault,T1(brief),FB_FaultCore,CODE/E_CODEURS/FB_Encoder_Abs.st,64,VAR,FB_Encoder_Abs,instFault           : FB_FaultCore;
PresetTimeoutError,T1(brief),= FALSE,CODE/E_CODEURS/FB_Encoder_Abs.st,81,?,FB_Encoder_Abs,PresetTimeoutError := FALSE;
Fault,T1(brief),= instFault.Fault,CODE/E_CODEURS/FB_Encoder_Abs.st,89,?,FB_Encoder_Abs,Fault := instFault.Fault;
PresetTimeoutError,T1(brief),= TRUE,CODE/E_CODEURS/FB_Encoder_Abs.st,153,?,FB_Encoder_Abs,PresetTimeoutError := TRUE;
Fault,T1(brief),ST_Fault,CODE/E_CODEURS/FB_Encoder_Homing.st,49,VAR_OUTPUT,FB_Encoder_Homing,Fault                  : ST_Fault;
HomingModeError,T1(brief),BOOL,CODE/E_CODEURS/FB_Encoder_Homing.st,86,VAR,FB_Encoder_Homing,HomingModeError        : BOOL;
TargetOutOfRangeError,T1(brief),BOOL,CODE/E_CODEURS/FB_Encoder_Homing.st,87,VAR,FB_Encoder_Homing,TargetOutOfRangeError  : BOOL;
