producteur,fichier,bit,masque_hex,texte_cause,ligne_texte,expr_active,ligne_ecriture_bit,latching,amont_ecrit_true,index_symbolique
FB_Brake,CODE/A_COMMUN/FB_Brake.st,0,16#0001,Incoherence retour contacteur frein,128,L81:FALSE | L126:NOT BypassContactorCheck AND (ContactorCheck.StuckClosed OR ContactorCheck.StuckOpen OR (TonFeedback.Q AND (BrakeCmd <> ContactorFeedback))),81,L82:TRUE | L127:TRUE,BrakeCmd (CODE/A_COMMUN/FB_Brake.st:96),
FB_Safety_EmergencyManagement,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,0,16#0001,Defaut redondance contacteurs AU,491,L490:RedundancyTestFailed,490,L490:TRUE,,
FB_Safety_EmergencyManagement,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,1,16#0002,Echec rearmement contacteur AU (timeout),493,L492:EmergencyArmingFailed,492,L492:TRUE,,
FB_Safety_EmergencyManagement,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,2,16#0004,,495,L494:FALSE,494,L494:FALSE,,
FB_Safety_EmergencyManagement,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,3,16#0008,Echec autotest demarrage AU,497,L496:StartupFail,496,L496:TRUE,,
FB_Joystick,CODE/D_JOYSTICK/FB_Joystick.st,0,16#0001,Echec calibration joystick (RawX/Y hors zone),140,L139:CalibFail,139,L139:TRUE,CalibFail (CODE/D_JOYSTICK/FB_Joystick.st:127),
FB_Joystick,CODE/D_JOYSTICK/FB_Joystick.st,1,16#0002,Capteur joystick hors plage ADC,142,L141:RawOutOfRange,141,L141:FALSE,,
FB_Joystick,CODE/D_JOYSTICK/FB_Joystick.st,2,16#0004,Perte liaison bus CAN joystick,144,L143:BusLost,143,L143:FALSE,,
FB_Encoder,CODE/E_CODEURS/FB_Encoder.st,0,16#0001,Perte materiel / communication codeur EtherCAT,227,L226:NOT instAbs.EncoderAvailable,226,L226:FALSE,,
FB_Encoder,CODE/E_CODEURS/FB_Encoder.st,1,16#0002,Incoherence mesure / saut de position codeur,229,L228:instSafety.EncoderIncoherent,228,L228:FALSE,,
FB_Encoder,CODE/E_CODEURS/FB_Encoder.st,2,16#0004,Echec confirmation transaction preset codeur,231,L230:instHoming.PresetConfirmationFailed,230,L230:TRUE,,
FB_Encoder_Abs,CODE/E_CODEURS/FB_Encoder_Abs.st,0,16#0001,Defaut communication EtherCAT codeur absolu,77,L75:(AlarmsIn <> 0) OR NOT SlaveOperational,75,L76:FALSE,,
FB_Encoder_Abs,CODE/E_CODEURS/FB_Encoder_Abs.st,1,16#0002,Timeout sequence preset SDO codeur,85,L83:PresetTimeoutError,83,L84:TRUE,PresetTimeoutError (CODE/E_CODEURS/FB_Encoder_Abs.st:153),
FB_Encoder_Homing,CODE/E_CODEURS/FB_Encoder_Homing.st,0,16#0001,Homing non autorise dans ce mode,138,L136:HomingModeError,136,L137:TRUE,HomingModeError (CODE/E_CODEURS/FB_Encoder_Homing.st:203),
FB_Encoder_Homing,CODE/E_CODEURS/FB_Encoder_Homing.st,1,16#0002,Cible de homing hors plage,142,L140:TargetOutOfRangeError,140,L141:TRUE,TargetOutOfRangeError (CODE/E_CODEURS/FB_Encoder_Homing.st:227),
FB_Encoder_Homing,CODE/E_CODEURS/FB_Encoder_Homing.st,2,16#0004,Echec confirmation transaction preset,146,L144:PresetFailError,144,L145:TRUE,PresetFailError (CODE/E_CODEURS/FB_Encoder_Homing.st:274),
FB_Encoder_Homing,CODE/E_CODEURS/FB_Encoder_Homing.st,3,16#0008,Incoherence position codeur au demarrage,150,L148:BootIncoherentError,148,L149:TRUE,BootIncoherentError (CODE/E_CODEURS/FB_Encoder_Homing.st:186),
FB_Encoder_Safety,CODE/E_CODEURS/FB_Encoder_Safety.st,0,16#0001,Depassement bornes physiques absolues cable,55,L53:NOT BypassGlobal AND ((CablePosM < PositionMinM) OR (CablePosM > PositionMaxM)),53,L54:FALSE,,
FB_Encoder_Safety,CODE/E_CODEURS/FB_Encoder_Safety.st,1,16#0002,Incoherence position au redemarrage,59,L57:NOT BypassGlobal AND HomingSuspect,57,L58:FALSE,,
FB_Modes,CODE/F_MODES/FB_Modes.st,0,16#0001,Mode Semi-Auto selectionne mais cycle non pret : defaut codeur present,165,L163:SemiAutoCycleNotReadyFault,163,L164:FALSE,,
FB_Modes,CODE/F_MODES/FB_Modes.st,1,16#0002,Changement de mode refuse : arreter les treuils avant de changer de mode,181,L179:Auth.ModeChangePendingBlocked,179,L180:FALSE,,
FB_Modes,CODE/F_MODES/FB_Modes.st,2,16#0004,Semi-Auto selectionne : re-homing obligatoire,169,L167:SemiAutoCycleNotReadyHoming,167,L168:FALSE,,
FB_Modes,CODE/F_MODES/FB_Modes.st,3,16#0008,Semi-Auto selectionne : referencement incomplet,173,L171:SemiAutoCycleNotReadyMachineHoming,171,L172:FALSE,,
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,0,16#0001,Perte de datum machine en mouvement : re-referencer,436,L434:HomingLossLatched OR ReHomingAckRequired,434,L435:TRUE,HomingLossLatched (CODE/G_CYCLE/FB_CycleMachineHoming.st:347) ; ReHomingAckRequired (CODE/G_CYCLE/FB_CycleMachineHoming.st:359),CST_CauseHomingLostInMotion
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,1,16#0002,Montee au capteur haut non aboutie dans le temps imparti,440,L438:ClimbTimedOut,438,L439:TRUE,,CST_CauseClimbTimeout
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,2,16#0004,Mouvement treuil detecte hors phase autorisee du cycle,444,L442:MotionOutOfPhase,442,L443:TRUE,,CST_CauseMotionOutOfPhase
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,3,16#0008,Erreur de homing codeur M1 pendant le referencement conjoint,448,L446:CycleRunning AND M1Status.HomingError,446,L447:TRUE,,CST_CauseHomingErrorM1
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,4,16#0010,Erreur de homing codeur M2 pendant le referencement conjoint,452,L450:CycleRunning AND M2Status.HomingError,450,L451:TRUE,,CST_CauseHomingErrorM2
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,5,16#0020,Homing des axes non obtenu dans le temps imparti,456,L454:HomeAxesTimedOut,454,L455:TRUE,,CST_CauseHomeAxesTimeout
FB_CycleMachineHoming,CODE/G_CYCLE/FB_CycleMachineHoming.st,6,16#0040,Descente interdite pendant le referencement verrouille,460,L458:LockedDescentRefused,458,L459:TRUE,LockedDescentRefused (CODE/G_CYCLE/FB_CycleMachineHoming.st:280),CST_CauseLockedDescentReq
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,0,16#0001,Limite legale de profondeur atteinte pendant descente,452,L446:LimitLegalReached AND ((State = E_AutoCycleStep.AX4_DESCEND_DIVING) OR (State = E_AutoCycleStep.AX5_KOBOLD_INIT) OR (State = E_AutoCycleStep.AX6_SEARCH_IMMERSION) OR (State = E_AutoCycleStep.AX7_SEARCH_BOTTOM)),446,L451:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,1,16#0002,Desynchronisme treuils M1/M2 bloquant,466,L458:WinchSyncError AND (State <> E_AutoCycleStep.AX0_REPOS) AND (State <> E_AutoCycleStep.AX_STAB) AND (State <> E_AutoCycleStep.AX8_BOTTOM_CONFIRMED) AND (State <> E_AutoCycleStep.AX9_RAISE_OFF_BOTTOM) AND (State <> E_AutoCycleStep.AX10_CLOSE_BUCKET) AND (State <> E_AutoCycleStep.AX11_CTRL_ASCENT),458,L465:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,2,16#0004,Ecart de vitesse M1/M2 confirme en montee,470,L468:SpeedMismatchConfirmed AND (State <> E_AutoCycleStep.AX0_REPOS) AND (State <> E_AutoCycleStep.AX_STAB),468,L469:TRUE,,
