producteur,fichier,ligne,cible,operation,masque_hex,expression
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,68,PreflightErrorId,SET,16#0001,PreflightErrorId OR 16#0001
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,69,PreflightErrorId,SET,16#0002,PreflightErrorId OR 16#0002
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,70,PreflightErrorId,SET,16#0004,PreflightErrorId OR 16#0004
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,71,PreflightErrorId,SET,16#0008,PreflightErrorId OR 16#0008
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,72,PreflightErrorId,SET,16#0010,PreflightErrorId OR 16#0010
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,73,PreflightErrorId,SET,16#0020,PreflightErrorId OR 16#0020
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,74,PreflightErrorId,SET,16#0040,PreflightErrorId OR 16#0040
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,75,PreflightErrorId,SET,16#0080,PreflightErrorId OR 16#0080
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,76,PreflightErrorId,SET,16#0100,PreflightErrorId OR 16#0100
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,77,PreflightErrorId,SET,16#0200,PreflightErrorId OR 16#0200
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,78,PreflightErrorId,SET,16#0400,PreflightErrorId OR 16#0400
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,79,PreflightErrorId,SET,16#0800,PreflightErrorId OR 16#0800
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,80,PreflightErrorId,SET,16#1000,PreflightErrorId OR 16#1000
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,81,PreflightErrorId,SET,16#2000,PreflightErrorId OR 16#2000
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,82,PreflightErrorId,SET,16#4000,PreflightErrorId OR 16#4000
FB_Acquisition_Preflight,CODE/A_COMMUN/FB_Acquisition_Preflight.st,83,PreflightErrorId,SET,16#8000,PreflightErrorId OR 16#8000
FB_Diag_CanOpen,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,81,DeviceJoystick.ErrorId,CLEAR,16#FFFC,DeviceJoystick.ErrorId AND 16#FFFC
FB_Diag_CanOpen,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,97,DeviceJoystick.ErrorId,SET,16#0001,DeviceJoystick.ErrorId OR 16#0001
FB_Diag_CanOpen,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,100,DeviceJoystick.ErrorId,CLEAR,16#FFFE,DeviceJoystick.ErrorId AND 16#FFFE
FB_Diag_CanOpen,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,105,DeviceJoystick.ErrorId,SET,16#0002,DeviceJoystick.ErrorId OR 16#0002
FB_Diag_CanOpen,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,109,DeviceJoystick.ErrorId,CLEAR,16#FFFD,DeviceJoystick.ErrorId AND 16#FFFD
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,109,DeviceVariateur.ErrorId,CLEAR,16#FFEF,DeviceVariateur.ErrorId AND 16#FFEF
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,110,DeviceEncoderM1.ErrorId,CLEAR,16#FFDF,DeviceEncoderM1.ErrorId AND 16#FFDF
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,111,DeviceEncoderM2.ErrorId,CLEAR,16#FFCF,DeviceEncoderM2.ErrorId AND 16#FFCF
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,129,DeviceVariateur.ErrorId,SET,16#0010,DeviceVariateur.ErrorId OR 16#0010
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,131,DeviceVariateur.ErrorId,CLEAR,16#FFEF,DeviceVariateur.ErrorId AND 16#FFEF
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,139,DeviceEncoderM1.ErrorId,SET,16#0020,DeviceEncoderM1.ErrorId OR 16#0020
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,141,DeviceEncoderM1.ErrorId,CLEAR,16#FFDF,DeviceEncoderM1.ErrorId AND 16#FFDF
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,149,DeviceEncoderM2.ErrorId,SET,16#0030,DeviceEncoderM2.ErrorId OR 16#0030
FB_Diag_Ethercat,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,151,DeviceEncoderM2.ErrorId,CLEAR,16#FFCF,DeviceEncoderM2.ErrorId AND 16#FFCF
