Domaine;Nom_du_defaut;Declaration_et_condition;Ecriture_du_bit_TRUE;Remonte_en_banniere;Message_utilisateur;Silencieuse;Categorie_securite;Remarque
Treuil M1;ErrorID:01 - perte communication operateur treuil;CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:269 (instCauses[0].Active);FB_Safety_Winch.st:269 -> bit ErrorId construit en FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:852;OUI - "[M1] ErrorID:01 - perte com operateur";NON;Safety (interlock mouvement, PLr non declare dans le code);Conforme - mappe par G506 bit 0
Treuil M1;ErrorID:02 - perte ou defaut codeur;FB_Safety_Winch.st:280 (Active): latch FB_Safety_Winch.st:278 (EncoderFaultLatched := TRUE);FB_Safety_Winch.st:278 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:855;OUI - "[M1] ErrorID:02 - perte codeur";NON;Safety;Conforme - G506 bit 1
Treuil M1;ErrorID:03 - surchauffe thermique moteur;FB_Safety_Winch.st:288 (Active): latch FB_Safety_Winch.st:286;FB_Safety_Winch.st:286 -> FB_FaultCore.st:53;NON en actif (exclu du carrousel) - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1119;OUI - "[HISTO] [M1] ErrorID:03 - surchauffe moteur";NON;Safety (classe WARNING);Ecart assume - exclusion AF-07 v2.3 section 6 lignes 290-291, exemption nominative G506 bit 2. Aucune action operateur dediee.
Treuil M1;ErrorID:04 - mou de cable;FB_Safety_Winch.st:294 (Active, live);FB_Safety_Winch.st:294 -> FB_FaultCore.st:53;NON en actif - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1122;OUI - "[HISTO] [M1] ErrorID:04 - mou de cable";NON;Safety (classe WARNING);Exclusion AF-07 section 6, exemption G506 bit 3
Treuil M1;ErrorID:05 - rotation phases;FB_Safety_Winch.st:305 (Active): latch FB_Safety_Winch.st:303;FB_Safety_Winch.st:303 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:858;OUI - "[M1] ErrorID:05 - rotation phases";NON;Safety;Conforme - G506 bit 4
Treuil M1;Fin de course haut capteur atteint (bit 5);FB_Safety_Winch.st:311 (Active, live);FB_Safety_Winch.st:311 -> FB_FaultCore.st:53;NON (aucun libelle ne decode 16#0020) - NON en [HISTO] (16#0020 absent de la table HISTO M1);Message generique OUI - "[TREUIL] Limite haute" FB_Hmi_BannerFormatter.st:757;NON;Safety (etat de fin de course, pas un defaut);Exemption nominative G506 bit 5 (etat normal + DI commune M1/M2). Ecart mineur : aucun libelle [HISTO] alors que la cause est latching=FALSE donc jamais historisee - coherent.
Treuil M1;ErrorID:07 - limite basse cable atteinte (bit 6);FB_Safety_Winch.st:320 (Active, live);FB_Safety_Winch.st:320 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:895;OUI - "[M1] Limite basse cable atteinte" + action "[TREUIL] Limite basse cable M1 - remonter" FB_Hmi_BannerFormatter.st:781;NON;Safety;Conforme - seul bit safety nomme en dur par constante CST_WinchErrorIdCableLimitDescent (FB_Hmi_BannerFormatter.st:161). Absent de [HISTO] (latching=FALSE) : coherent.
Treuil M1;ErrorID:08 - Meca A deplacement sans commande;FB_Safety_Winch.st:335 (Active): latch FB_Safety_Winch.st:334;FB_Safety_Winch.st:334 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:861;OUI - "[M1] ErrorID:08 - MecaA - deplacement sans commande";NON;Safety (ISO 13849 - surveille l'immobilite);Conforme - G506 bit 7
Treuil M1;ErrorID:09 - Meca B arret non confirme;FB_Safety_Winch.st:348 (Active): latch FB_Safety_Winch.st:343;FB_Safety_Winch.st:343 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:864;OUI - "[M1] ErrorID:09 - MecaB - arret non confirme apres stop";NON;Safety;Conforme - G506 bit 8
Treuil M1;ErrorID:10 - Meca C glissement benne figee;FB_Safety_Winch.st:360 (Active): latch FB_Safety_Winch.st:359;FB_Safety_Winch.st:359 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:867;OUI - "[M1] ErrorID:10 - MecaC - glissement pendant benne figee";NON;Safety;Conforme - G506 bit 9
