nom,fichier,ligne,role,contexte
Error,CODE/A_COMMUN/_TYPES/ST_Fault.st,19,LECTURE,Error     : BOOL;
ErrorId,CODE/A_COMMUN/_TYPES/ST_Fault.st,20,LECTURE,ErrorId   : WORD;
Latched,CODE/A_COMMUN/_TYPES/ST_Fault.st,21,LECTURE,Latched   : BOOL;
LatchedId,CODE/A_COMMUN/_TYPES/ST_Fault.st,22,LECTURE,LatchedId : WORD;
Error,CODE/A_COMMUN/_TYPES/ST_Status.st,21,LECTURE,Error        : BOOL;
ErrorId,CODE/A_COMMUN/_TYPES/ST_Status.st,22,LECTURE,ErrorId      : WORD;
StateAtError,CODE/A_COMMUN/_TYPES/ST_Status.st,24,LECTURE,StateAtError : E_State;
Warning,CODE/A_COMMUN/_TYPES/ST_Status.st,26,LECTURE,Warning        : BOOL;
WarningId,CODE/A_COMMUN/_TYPES/ST_Status.st,27,LECTURE,WarningId      : WORD;
WarningIdTxt,CODE/A_COMMUN/_TYPES/ST_Status.st,28,LECTURE,WarningIdTxt   : STRING;
ErrorIdTxt,CODE/A_COMMUN/_TYPES/ST_Status.st,29,LECTURE,ErrorIdTxt     : STRING;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,46,LECTURE,PreflightErrorId        : WORD;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,63,ECRITURE,PreflightErrorId := 0;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,68,ECRITURE,IF NOT M1BrakeApplied THEN PreflightErrorId := PreflightErrorId OR 16#0001; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,68,LECTURE,IF NOT M1BrakeApplied THEN PreflightErrorId := PreflightErrorId OR 16#0001; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,69,ECRITURE,IF NOT M2BrakeApplied THEN PreflightErrorId := PreflightErrorId OR 16#0002; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,69,LECTURE,IF NOT M2BrakeApplied THEN PreflightErrorId := PreflightErrorId OR 16#0002; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,70,ECRITURE,IF NOT M3BrakeApplied THEN PreflightErrorId := PreflightErrorId OR 16#0004; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,70,LECTURE,IF NOT M3BrakeApplied THEN PreflightErrorId := PreflightErrorId OR 16#0004; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,71,ECRITURE,IF NOT M1ContactorsReleased THEN PreflightErrorId := PreflightErrorId OR 16#0008; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,71,LECTURE,IF NOT M1ContactorsReleased THEN PreflightErrorId := PreflightErrorId OR 16#0008; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,72,ECRITURE,IF NOT M2ContactorsReleased THEN PreflightErrorId := PreflightErrorId OR 16#0010; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,72,LECTURE,IF NOT M2ContactorsReleased THEN PreflightErrorId := PreflightErrorId OR 16#0010; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,73,ECRITURE,IF NOT M1ThermalOk THEN PreflightErrorId := PreflightErrorId OR 16#0020; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,73,LECTURE,IF NOT M1ThermalOk THEN PreflightErrorId := PreflightErrorId OR 16#0020; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,74,ECRITURE,IF NOT M2ThermalOk THEN PreflightErrorId := PreflightErrorId OR 16#0040; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,74,LECTURE,IF NOT M2ThermalOk THEN PreflightErrorId := PreflightErrorId OR 16#0040; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,75,ECRITURE,IF NOT BrakeThermalOk THEN PreflightErrorId := PreflightErrorId OR 16#0080; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,75,LECTURE,IF NOT BrakeThermalOk THEN PreflightErrorId := PreflightErrorId OR 16#0080; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,76,ECRITURE,IF NOT PhaseRotationOk THEN PreflightErrorId := PreflightErrorId OR 16#0100; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,76,LECTURE,IF NOT PhaseRotationOk THEN PreflightErrorId := PreflightErrorId OR 16#0100; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,77,ECRITURE,IF NOT SlackCableTensioned THEN PreflightErrorId := PreflightErrorId OR 16#0200; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,77,LECTURE,IF NOT SlackCableTensioned THEN PreflightErrorId := PreflightErrorId OR 16#0200; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,78,ECRITURE,IF M3SensorWordIncoherent THEN PreflightErrorId := PreflightErrorId OR 16#0400; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,78,LECTURE,IF M3SensorWordIncoherent THEN PreflightErrorId := PreflightErrorId OR 16#0400; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,79,ECRITURE,IF PowerContactorEngaged AND NOT EmergencyChainClosed THEN PreflightErrorId := PreflightErrorId OR 16#0800; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,79,LECTURE,IF PowerContactorEngaged AND NOT EmergencyChainClosed THEN PreflightErrorId := PreflightErrorId OR 16#0800; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,80,ECRITURE,IF NOT EncoderM1Operational THEN PreflightErrorId := PreflightErrorId OR 16#1000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,80,LECTURE,IF NOT EncoderM1Operational THEN PreflightErrorId := PreflightErrorId OR 16#1000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,81,ECRITURE,IF NOT EncoderM2Operational THEN PreflightErrorId := PreflightErrorId OR 16#2000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,81,LECTURE,IF NOT EncoderM2Operational THEN PreflightErrorId := PreflightErrorId OR 16#2000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,82,ECRITURE,IF NOT HomedM1 OR NOT M1PositionInBounds THEN PreflightErrorId := PreflightErrorId OR 16#4000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,82,LECTURE,IF NOT HomedM1 OR NOT M1PositionInBounds THEN PreflightErrorId := PreflightErrorId OR 16#4000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,83,ECRITURE,IF NOT HomedM2 OR NOT M2PositionInBounds THEN PreflightErrorId := PreflightErrorId OR 16#8000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,83,LECTURE,IF NOT HomedM2 OR NOT M2PositionInBounds THEN PreflightErrorId := PreflightErrorId OR 16#8000; END_IF;
PreflightErrorId,CODE/A_COMMUN/FB_Acquisition_Preflight.st,87,ECRITURE,PreflightOk := (PreflightErrorId = 0); PreflightDone := TRUE; RequestPending := FALSE;
Fault,CODE/A_COMMUN/FB_Brake.st,30,LECTURE,Fault                   : ST_Fault;
ContactorIncoherentError,CODE/A_COMMUN/FB_Brake.st,48,LECTURE,ContactorIncoherentError: BOOL;
instFault,CODE/A_COMMUN/FB_Brake.st,49,LECTURE,instFault               : FB_FaultCore;
ContactorIncoherentError,CODE/A_COMMUN/FB_Brake.st,62,ECRITURE_FALSE,ContactorIncoherentError := FALSE;
instFault,CODE/A_COMMUN/FB_Brake.st,84,LECTURE,"instFault(Enable := FALSE, Reset := Reset, Causes := instCauses);"
Fault,CODE/A_COMMUN/FB_Brake.st,85,ECRITURE,Fault := instFault.Fault;
instFault,CODE/A_COMMUN/FB_Brake.st,85,LECTURE,Fault := instFault.Fault;
Fault,CODE/A_COMMUN/FB_Brake.st,85,LECTURE,Fault := instFault.Fault;
ContactorIncoherentError,CODE/A_COMMUN/FB_Brake.st,119,ECRITURE_TRUE,ContactorIncoherentError   := TRUE;
instFault,CODE/A_COMMUN/FB_Brake.st,130,LECTURE,"instFault(Enable := Enable, Reset := Reset, Causes := instCauses);"
Fault,CODE/A_COMMUN/FB_Brake.st,131,ECRITURE,Fault := instFault.Fault;
instFault,CODE/A_COMMUN/FB_Brake.st,131,LECTURE,Fault := instFault.Fault;
Fault,CODE/A_COMMUN/FB_Brake.st,131,LECTURE,Fault := instFault.Fault;
Fault,CODE/A_COMMUN/FB_Brake.st,133,LECTURE,Ready := Enable AND NOT Fault.Latched;
Latched,CODE/A_COMMUN/FB_Brake.st,133,LECTURE,Ready := Enable AND NOT Fault.Latched;
Fault,CODE/A_COMMUN/FB_Brake.st,136,LECTURE,IF Fault.Error OR Fault.Latched THEN
Error,CODE/A_COMMUN/FB_Brake.st,136,LECTURE,IF Fault.Error OR Fault.Latched THEN
Fault,CODE/A_COMMUN/FB_Brake.st,136,LECTURE,IF Fault.Error OR Fault.Latched THEN
Latched,CODE/A_COMMUN/FB_Brake.st,136,LECTURE,IF Fault.Error OR Fault.Latched THEN
Fault,CODE/A_COMMUN/FB_Brake.st,146,LECTURE,BrakeCommandOpenConfirmed := ContactorFeedback AND NOT Fault.Latched;
Latched,CODE/A_COMMUN/FB_Brake.st,146,LECTURE,BrakeCommandOpenConfirmed := ContactorFeedback AND NOT Fault.Latched;
ActivationLatched,CODE/A_COMMUN/FB_ContactorProtector.st,26,LECTURE,ActivationLatched : BOOL;
ActivationLatched,CODE/A_COMMUN/FB_ContactorProtector.st,34,ECRITURE_FALSE,ActivationLatched := FALSE;
ActivationLatched,CODE/A_COMMUN/FB_ContactorProtector.st,53,ECRITURE_TRUE,ActivationLatched := TRUE;
ActivationLatched,CODE/A_COMMUN/FB_ContactorProtector.st,56,ECRITURE_FALSE,ActivationLatched := FALSE;
ActivationLatched,CODE/A_COMMUN/FB_ContactorProtector.st,60,LECTURE,Cmd := ActivationLatched;
DefaultValueS,CODE/A_COMMUN/FB_CycleTime.st,13,LECTURE,DefaultValueS           : REAL := 0.004;
DefaultValueS,CODE/A_COMMUN/FB_CycleTime.st,41,LECTURE,CycleTimeS := DefaultValueS;
DefaultValueS,CODE/A_COMMUN/FB_CycleTime.st,74,LECTURE,CycleTimeS := DefaultValueS;
Fault,CODE/A_COMMUN/FB_FaultCore.st,29,LECTURE,Fault   : ST_Fault;
Error,CODE/A_COMMUN/FB_FaultCore.st,46,LECTURE,"{region ""§2 Vue LIVE — Error / ErrorId""}"
ErrorId,CODE/A_COMMUN/FB_FaultCore.st,46,LECTURE,"{region ""§2 Vue LIVE — Error / ErrorId""}"
Fault,CODE/A_COMMUN/FB_FaultCore.st,49,LECTURE,Fault.ErrorId := 0;
ErrorId,CODE/A_COMMUN/FB_FaultCore.st,49,ECRITURE,Fault.ErrorId := 0;
Fault,CODE/A_COMMUN/FB_FaultCore.st,53,LECTURE,"Fault.ErrorId := Fault.ErrorId OR SHL(WORD#1, INT_TO_DWORD(i));"
ErrorId,CODE/A_COMMUN/FB_FaultCore.st,53,ECRITURE,"Fault.ErrorId := Fault.ErrorId OR SHL(WORD#1, INT_TO_DWORD(i));"
Fault,CODE/A_COMMUN/FB_FaultCore.st,53,LECTURE,"Fault.ErrorId := Fault.ErrorId OR SHL(WORD#1, INT_TO_DWORD(i));"
ErrorId,CODE/A_COMMUN/FB_FaultCore.st,53,LECTURE,"Fault.ErrorId := Fault.ErrorId OR SHL(WORD#1, INT_TO_DWORD(i));"
Fault,CODE/A_COMMUN/FB_FaultCore.st,57,LECTURE,Fault.Error := (Fault.ErrorId <> 0);
Error,CODE/A_COMMUN/FB_FaultCore.st,57,ECRITURE,Fault.Error := (Fault.ErrorId <> 0);
Fault,CODE/A_COMMUN/FB_FaultCore.st,57,LECTURE,Fault.Error := (Fault.ErrorId <> 0);
ErrorId,CODE/A_COMMUN/FB_FaultCore.st,57,LECTURE,Fault.Error := (Fault.ErrorId <> 0);
Latched,CODE/A_COMMUN/FB_FaultCore.st,72,LECTURE,"{region ""§4 Vue LATCHÉE — Latched / LatchedId""}"
LatchedId,CODE/A_COMMUN/FB_FaultCore.st,72,LECTURE,"{region ""§4 Vue LATCHÉE — Latched / LatchedId""}"
Fault,CODE/A_COMMUN/FB_FaultCore.st,74,LECTURE,Fault.LatchedId := 0;
LatchedId,CODE/A_COMMUN/FB_FaultCore.st,74,ECRITURE,Fault.LatchedId := 0;
Fault,CODE/A_COMMUN/FB_FaultCore.st,77,LECTURE,"Fault.LatchedId := Fault.LatchedId OR SHL(WORD#1, INT_TO_DWORD(i));"
LatchedId,CODE/A_COMMUN/FB_FaultCore.st,77,ECRITURE,"Fault.LatchedId := Fault.LatchedId OR SHL(WORD#1, INT_TO_DWORD(i));"
Fault,CODE/A_COMMUN/FB_FaultCore.st,77,LECTURE,"Fault.LatchedId := Fault.LatchedId OR SHL(WORD#1, INT_TO_DWORD(i));"
LatchedId,CODE/A_COMMUN/FB_FaultCore.st,77,LECTURE,"Fault.LatchedId := Fault.LatchedId OR SHL(WORD#1, INT_TO_DWORD(i));"
Fault,CODE/A_COMMUN/FB_FaultCore.st,80,LECTURE,Fault.Latched := (Fault.LatchedId <> 0);
Latched,CODE/A_COMMUN/FB_FaultCore.st,80,ECRITURE,Fault.Latched := (Fault.LatchedId <> 0);
Fault,CODE/A_COMMUN/FB_FaultCore.st,80,LECTURE,Fault.Latched := (Fault.LatchedId <> 0);
LatchedId,CODE/A_COMMUN/FB_FaultCore.st,80,LECTURE,Fault.Latched := (Fault.LatchedId <> 0);
Error,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Diag.st,11,LECTURE,Error                : BOOL;
ErrorId,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Diag.st,12,LECTURE,ErrorId              : WORD;
Diag,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Status.st,23,LECTURE,Diag            : ST_Safety_Emergency_Diag;
Fault,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Status.st,26,LECTURE,Fault           : ST_Fault;
MaintainA_NoFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,82,LECTURE,MaintainA_NoFault         : BOOL;
MaintainB_NoFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,83,LECTURE,MaintainB_NoFault         : BOOL;
instFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,105,LECTURE,instFault               : FB_FaultCore;
CST_FaultDisplayDebounce,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,117,LECTURE,CST_FaultDisplayDebounce : TIME := T#200ms;
CST_ABORT_INVALID_STEP,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,435,LECTURE,LastAbortCause := INT_TO_WORD(CST_ABORT_INVALID_STEP);
CST_FaultDisplayDebounce,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,476,LECTURE,"TonRedundancyDisplay(IN := RedundancyTestFailedCause, PT := CST_FaultDisplayDebounce);"
CST_FaultDisplayDebounce,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,479,LECTURE,"TonArmingFailedDisplay(IN := EmergencyArmingFailedCause, PT := CST_FaultDisplayDebounce);"
instFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,501,LECTURE,"instFault(Enable := Enable, Reset := Reset, Causes := instCauses);"
Fault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,502,ECRITURE,Status.Fault := instFault.Fault;
instFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,502,LECTURE,Status.Fault := instFault.Fault;
Fault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,502,LECTURE,Status.Fault := instFault.Fault;
MaintainA_NoFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,532,ECRITURE,MaintainA_NoFault := NOT ForceTestA AND NOT RedundancyTestFailedCause;
MaintainB_NoFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,533,ECRITURE,MaintainB_NoFault := NOT ForceTestB AND NOT RedundancyTestFailedCause;
MaintainA_NoFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,534,LECTURE,MaintainA_NoBlock := Maintain_NoCutOff AND MaintainA_NoFault;
MaintainB_NoFault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,535,LECTURE,MaintainB_NoBlock := Maintain_NoCutOff AND MaintainB_NoFault;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,LECTURE,Status.Diag.Error                := Status.Fault.Error;
Error,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,ECRITURE,Status.Diag.Error                := Status.Fault.Error;
Fault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,LECTURE,Status.Diag.Error                := Status.Fault.Error;
Error,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,LECTURE,Status.Diag.Error                := Status.Fault.Error;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,LECTURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
ErrorId,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,ECRITURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
Fault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,LECTURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
ErrorId,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,LECTURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,577,LECTURE,Status.Diag.RedundancyTestFailed := RedundancyTestFailed;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,578,LECTURE,Status.Diag.ArmFailed            := EmergencyArmingFailed;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,579,LECTURE,Status.Diag.WasArmed             := WasArmed;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,580,LECTURE,Status.Diag.LockoutActive        := EmergencyArmingLockoutActive;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,581,LECTURE,Status.Diag.LastAbortStep        := LastAbortStep;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,582,LECTURE,Status.Diag.LastAbortCause       := LastAbortCause;
CST_ABORT_INVALID_STEP,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,620,LECTURE,ELSIF LastAbortCause = INT_TO_WORD(CST_ABORT_INVALID_STEP) THEN
