nom,tier,nature,type,bloc,fichier,ligne,pou,nb_references,lignes_ecriture,premier_ecrit_true,reference_dans_bandeau,reference_dans_PRG_07,nom_cite_dans_agregation_anyfault,nom_cite_dans_gardes_bandeau,texte_cause_associe,trace_mecanique
Error,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,19,,139,CODE/A_COMMUN/FB_FaultCore.st:57 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:575 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:52 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:57 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:128 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:132,,,CODE/M_MAIN/PRG_07_Supervision.st:587 ; CODE/M_MAIN/PRG_07_Supervision.st:589 ; CODE/M_MAIN/PRG_07_Supervision.st:591 ; CODE/M_MAIN/PRG_07_Supervision.st:592,oui,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:57
ErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,20,,165,CODE/A_COMMUN/FB_FaultCore.st:49 ; CODE/A_COMMUN/FB_FaultCore.st:53 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:576 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:53 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:58 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:81,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778,CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:633 ; CODE/M_MAIN/PRG_07_Supervision.st:633,non,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:49
Latched,T2(elargi),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,21,,46,CODE/A_COMMUN/FB_FaultCore.st:80 ; CODE/M_MAIN/PRG_03_Modes_Cycle.st:445 ; CODE/M_MAIN/PRG_03_Modes_Cycle.st:519,,,CODE/M_MAIN/PRG_07_Supervision.st:590 ; CODE/M_MAIN/PRG_07_Supervision.st:659 ; CODE/M_MAIN/PRG_07_Supervision.st:660 ; CODE/M_MAIN/PRG_07_Supervision.st:882,oui,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:80
LatchedId,T2(elargi),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,22,,23,CODE/A_COMMUN/FB_FaultCore.st:74 ; CODE/A_COMMUN/FB_FaultCore.st:77 ; CODE/H_TREUILS_BENNE/FB_WinchStateProjection.st:238 ; CODE/H_TREUILS_BENNE/FB_WinchStateProjection.st:266 ; CODE/M_MAIN/PRG_05_Translation.st:741,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:568 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:570 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:571 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:573,CODE/M_MAIN/PRG_07_Supervision.st:662 ; CODE/M_MAIN/PRG_07_Supervision.st:883,non,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:74
Error,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,21,,139,CODE/A_COMMUN/FB_FaultCore.st:57 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:575 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:52 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:57 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:128 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:132,,,CODE/M_MAIN/PRG_07_Supervision.st:587 ; CODE/M_MAIN/PRG_07_Supervision.st:589 ; CODE/M_MAIN/PRG_07_Supervision.st:591 ; CODE/M_MAIN/PRG_07_Supervision.st:592,oui,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:57
ErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,22,,165,CODE/A_COMMUN/FB_FaultCore.st:49 ; CODE/A_COMMUN/FB_FaultCore.st:53 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:576 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:53 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:58 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:81,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778,CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:633 ; CODE/M_MAIN/PRG_07_Supervision.st:633,non,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:49
StateAtError,T1(brief),AUTRE,E_State,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,24,,10,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:88 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:137 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:138 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:116 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:117 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:118,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:88
Warning,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,26,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:26)
WarningId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,27,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:27)
WarningIdTxt,T1(brief),TEXTE_LIBELLE,STRING,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,28,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:28)
