ID;Catégorie;Organe;Code Défaut;Message / Alarme affichée;Niveau;Cause;Action Utilisateur;Action Maintenance;Points de Test Matériels;Condition Déclenchement (Code ST);Fichier Source;Ligne
ALM_001;ACTIVE_ALARM;IO;-;[IO] Defaut module Local IO (DI8/DO8);BLOQUANT (SafeStop/Coupure);🔌 Défaut de communication interne ou panne matérielle du module CPU Local_Digital_IO (Slot 1).;🛑 Arrêt immédiat de la machine. Couper la commande au pupitre. Noter le code ALM_001.;🧰 Armoire : vérifier voyant ERR/RUN sur la CPU VEICHI. Contrôler alimentation 24Vcc et connectique nappe de fond de panier.;Automate VEICHI · Slot 1 Local_Digital_IO ➔ Voyants CPU : RUN Vert fixe, ERR Éteint ➔ Mesure : 24Vcc entre bornes +24V et 0V;NOT LocalIoValid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;682
ALM_002;ACTIVE_ALARM;IO;-;[IO] Defaut module VH0800END (DI8);BLOQUANT (SafeStop/Coupure);🔌 Défaut de communication coupleur ou coupure 24V sur le module d'entrées VH_0800END (Slot 3).;🛑 Couper les commandes au pupitre. Verrouiller le poste de conduite.;🧰 Armoire : vérifier clip de verrouillage fond de panier Slot 3. Mesurer alimentation 24Vcc sur le bornier du module VH_0800END.;Automate VEICHI · Slot 3 VH_0800END ➔ Mesure : 24Vcc sur bornes d'alimentation module ➔ LED PWR allumée verte;NOT Vh0800Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;685
ALM_003;ACTIVE_ALARM;IO;-;[IO] Defaut module VH0808ETP (DI8/DO8);BLOQUANT (SafeStop/Coupure);🔌 Défaut de communication ou panne d'alimentation du module mixte VH_0808ETP (Slot 2).;🛑 Interdiction translation et treuils au pupitre. Relever le code ALM_003.;🧰 Armoire : contrôler enfichage Slot 2 sur le rail DIN. Vérifier fusible protection 24Vcc de la carte VH_0808ETP.;Automate VEICHI · Slot 2 VH_0808ETP ➔ Mesure : 24Vcc sur bornes d'alimentation carte ➔ LED PWR allumée verte;NOT Vh0808Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;688
ALM_004;ACTIVE_ALARM;IO;-;[IO] Defaut module VH0008ER (DO8 Relais);BLOQUANT (SafeStop/Coupure);🔌 Défaut d'alimentation ou défaillance du module 8 sorties relais VH_0008ER (Slot 4 - Freins).;🛑 Interdiction des commandes treuils et translation au pupitre de commande.;🧰 Armoire : vérifier module Slot 4. Contrôler présence du 24Vcc sur les communs relais C0..C7 et la nappe interne.;Automate VEICHI · Slot 4 VH_0008ER ➔ Mesure : 24Vcc sur communs relais ➔ Vérifier étrier fond de panier bien enclenché;NOT Vh0008ErValid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;691
ALM_005;ACTIVE_ALARM;IO;-;[IO] Defaut module VH0008ER_1 (DO8 Relais);BLOQUANT (SafeStop/Coupure);🔌 Défaut de communication ou d'alimentation du module sorties relais VH_0008ER_1 (Slot 5 - Sécurité).;🛑 Frapper l'arrêt d'urgence au pupitre. Condamner le poste de conduite.;🧰 Armoire : vérifier Slot 5. Contrôler alimentation 24Vcc et boucle de maintien puissance PowerKeepAlive.;Automate VEICHI · Slot 5 VH_0008ER_1 ➔ Mesure : 24Vcc sur communs C6/C7 (%QX28.6/%QX28.7) ➔ Attendu : Relais fermés au réarmement puissance;NOT Vh0008Er1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;694
ALM_006;ACTIVE_ALARM;CAN;-;[CAN] Defaut bus CANopen;BLOQUANT (SafeStop/Coupure);📡 Défaillance générale du bus CANopen maître CPU (câble blindé coupé, parasite sévère, bus éteint).;🛑 Arrêt des commandes. Couper puis réenclencher l'alimentation générale du pupitre.;🧰 Vérifier résistance 120 Ω à chaque extrémité du bus CAN. Contrôler le blindage et la continuité des lignes CAN_H et CAN_L.;Port CANopen CPU VEICHI ➔ Mesure hors tension : 60 Ω entre CAN_H et CAN_L ➔ Sous tension : ~2.5Vcc sur CAN_H et CAN_L par rapport au 0V;NOT CanBusValid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;697
ALM_007;ACTIVE_ALARM;CAN;-;[CAN] Joystick JOY1 non detecte;BLOQUANT (SafeStop/Coupure);📡 Joystick pupitre JOY1 non détecté sur le bus CANopen (Node ID 1 absent ou 24V pupitre coupé).;🕹️ Mettre le joystick physique au neutre mécanique. Couper et réarmer le commutateur pupitre.;🧰 Contrôler 24Vcc sur connecteur JOY1 sous pupitre. Vérifier l'état de la LED CANopen sous le manipulateur (Verte clignotante = Pre-Op).;Connecteur JOY1 sous pupitre ➔ Mesure : 24Vcc entre broche 1 (+) et broche 2 (0V) ➔ Câble CAN blindé 2 paires;CanBusValid AND NOT Joy1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;700
ALM_008;ACTIVE_ALARM;ECAT;-;[ECAT] Defaut bus EtherCAT;BLOQUANT (SafeStop/Coupure);📡 Rupture de communication sur le maître EtherCAT automate (câble principal débranché ou perturbation CEM).;🛑 Arrêt des commandes machine. Noter code ALM_008 au pupitre.;🧰 Armoire : inspecter câble Ethernet blindé RJ45 partant du port EtherCAT CPU vers le premier esclave (variateur AC600).;Port EtherCAT CPU VEICHI ➔ LED Link/Act : Verte clignotante (trafic actif) ➔ Cordon Ethernet industriel blindé CAT5e/CAT6;NOT EcatBusValid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;703
ALM_009;ACTIVE_ALARM;M1;-;[M1] Codeur absolu COD1 non detecte (ECAT);BLOQUANT (SafeStop/Coupure);📡 Codeur absolu COD1 treuil levage M1 non détecté sur le bus EtherCAT (câble touret M12 coupé ou 24V manquant).;🛑 Ne pas tenter de manœuvrer le treuil M1. Rester au neutre au pupitre.;🧰 Treuil M1 : contrôler voyants LED (PWR, L/A) sur connecteur M12 du codeur COD1. Tester continuité des 4 paires du cordon en chaîne porte-câbles.;Codeur COD1 (Treuil M1) ➔ Port M12 IN ➔ Attendu : 24Vcc broches 1-3, LED L/A Verte clignotante;EcatBusValid AND NOT EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;706
ALM_010;ACTIVE_ALARM;M2;-;[M2] Codeur absolu COD2 non detecte (ECAT);BLOQUANT (SafeStop/Coupure);📡 Codeur absolu COD2 treuil benne M2 non détecté sur le bus EtherCAT (câble touret M12 coupé ou 24V manquant).;🛑 Ne pas tenter de manœuvrer le treuil M2. Rester au neutre au pupitre.;🧰 Treuil M2 : contrôler voyants LED (PWR, L/A) sur connecteur M12 du codeur COD2. Tester cordon chaîne porte-câbles et disjoncteur 24V capteurs.;Codeur COD2 (Treuil M2) ➔ Port M12 IN ➔ Attendu : 24Vcc broches 1-3, LED L/A Verte clignotante;EcatBusValid AND NOT EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;709
ALM_011;ACTIVE_ALARM;M3;-;[M3] Variateur AC600 non detecte (ECAT);BLOQUANT (SafeStop/Coupure);📡 Variateur translation AC600 non détecté sur le bus EtherCAT (drive éteint ou câble RJ45 déconnecté).;🛑 Translation M3 immobilisée. Ne pas insister sur les commandes.;🧰 Armoire : vérifier disjoncteur alimentation Q_Drive variateur. Contrôler voyant LINK sur port RJ45 EtherCAT du drive AC600.;Variateur AC600 ➔ Port RJ45 EtherCAT IN ➔ Attendu : LED Link verte fixe/clignotante ➔ Disjoncteur drive enclenché;EcatBusValid AND NOT VarM3Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;712
ALM_012;ACTIVE_ALARM;M1;ErrorID:01;[M1] ErrorID:01 - perte com operateur;BLOQUANT (SafeStop/Coupure);📡 Perte de communication avec le pupitre ou heartbeat IHM interrompu pendant la commande de levage M1.;🕹️ Mettre les manipulateurs au neutre au pupitre. Vérifier l'écran IHM.;🧰 Contrôler le réseau Ethernet IHM-PLC et l'alimentation 24V de la dalle tactile de supervision.;Port Ethernet IHM ➔ Ping IP automate VEICHI ➔ Diagnostic variable GVL_IHM.Commun.HeartbeatIhmOk;WinchM1Safety.ErrorOperatorComm AND Joy1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;721
ALM_013;ACTIVE_ALARM;M1;ErrorID:02;[M1] ErrorID:02 - perte codeur;BLOQUANT (SafeStop/Coupure);📡 Perte de signal ou anomalie trame du codeur treuil M1 en mouvement (perte comptage position).;🛑 Arrêt du treuil M1. Ne pas passer en mode automatique. Mettre au neutre.;🧰 Vérifier fixation mécanique de l'axe codeur COD1 sur le tambour treuil M1. Contrôler connecteur M12 et blindage.;Codeur COD1 Treuil M1 ➔ Variable PRG_02_Acquisition.Data.EncoderM1.Measurement.EncoderAvailable ➔ Attendu : TRUE;WinchM1Safety.ErrorEncoder AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;724
ALM_014;ACTIVE_ALARM;M1;ErrorID:05;[M1] ErrorID:05 - rotation phases;BLOQUANT (SafeStop/Coupure);⚡ Détection d'une inversion de phase 400V ou coupure de phase pendant l'exploitation du treuil M1.;🛑 Arrêt immédiat de la machine. Couper les commandes au pupitre.;🧰 Contrôler le relais de surveillance des phases en armoire tête. Mesurer tension 400Vac entre phases L1, L2, L3.;VH_0800END · Borne %IX225.4 (PhaseRotationOk_DI) ➔ Attendu : 24Vcc normal ➔ 0V si défaut phase;WinchM1Safety.ErrorPhaseRotation AND Vh0800Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;727
ALM_015;ACTIVE_ALARM;M1;ErrorID:08;[M1] ErrorID:08 - MecaA - deplacement sans commande (vitesse/derive);BLOQUANT (SafeStop/Coupure);🚨 Dérive non commandée M1 (Meca A) : rotation du tambour détectée > 5.0m alors que les commandes et le frein sont coupés.;🛑 NE TOUCHER À RIEN. Enclencher l'Arrêt d'Urgence coup de poing pupitre si le tambour continue de tourner sous la charge.;⚠️ DANGER GRAVITATIONNEL : Interdire l'accès sous la flèche. Armoire : mesurer 0V sur bobine frein M1. Remplacer les garnitures si patinage mécanique.;VH_0008ER · %QX27.0 = 0 | VH_0800END · %IX225.0 = 0V ➔ Mesure bornier frein treuil M1 : 0V strict;WinchM1Safety.ErrorMecaA AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;730
ALM_016;ACTIVE_ALARM;M1;ErrorID:09;[M1] ErrorID:09 - MecaB - arret non confirme apres stop;BLOQUANT (SafeStop/Coupure);⏱️ Absence confirmation arrêt M1 (Meca B) : contacteurs ou frein restés enclenchés > 3s après retour au neutre du manipulateur.;🕹️ Manipulateur M1 au neutre. Contrôler visuellement l'arrêt complet du tambour treuil.;🧰 Armoire : vérifier si contacteur KM_M1 ou relais de défreinage reste mécaniquement coincé fermé. Contrôler varistance anti-arc.;Local_Digital_IO · %IX0.0 (M1_ContactorsReleased_DI) ➔ Attendu repos : 24V | VH_0800END · %IX225.0 (BrakeOpen) ➔ Attendu repos : 0V;WinchM1Safety.ErrorMecaB AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;733
ALM_017;ACTIVE_ALARM;M1;ErrorID:10;[M1] ErrorID:10 - MecaC - glissement pendant benne figee;BLOQUANT (SafeStop/Coupure);🚨 Glissement M1 pendant cycle benne (Meca C) : le treuil M1 a dérivé de plus de 2.0m alors qu'il devait maintenir la charge immobile.;🛑 Arrêt immédiat de l'action benne. Mettre les manipulateurs au neutre au pupitre.;🧰 Contrôler le couple de serrage du frein treuil M1. Vérifier si la bobine de défreinage M1 n'a pas reçu d'alimentation parasite.;Mesure multimètre DC aux bornes bobine frein M1 pendant fermeture benne : 0V strict ➔ MecaCDriftM > 2.0m;WinchM1Safety.ErrorMecaC AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;736
ALM_018;ACTIVE_ALARM;M1;ErrorID:12;[M1] ErrorID:12 - MecaD - non-arret au capteur haut;BLOQUANT (SafeStop/Coupure);🚨 Non-arrêt capteur haut M1 (Meca D) : le treuil a franchi le fin de course haut sans que l'arrêt ne soit confirmé sous 3s.;🛑 ARRÊT IMMÉDIAT. Ne pas tenter de forcer la montée. Vérifier que la tête de flèche n'est pas en butée.;🧰 Contrôler détecteur inductif fin de course haut M1M2_TopPositionFree_DI (%IX0.7). Vérifier la chaîne de coupure contacteurs montée.;Local_Digital_IO · Borne %IX0.7 (M1M2_TopPositionFree_DI) ➔ Attendu libre : 24V (Contact NC) | Ouvert en butée : 0V;WinchM1Safety.ErrorMecaD AND LocalIoValid AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;739
ALM_019;ACTIVE_ALARM;M1;ErrorID:13;[M1] ErrorID:13 - MecaE - ecart synchro M1/M2 critique;BLOQUANT (SafeStop/Coupure);🚨 Écart critique synchronisation M1/M2 (Meca E) : décalage entre câbles > 7.0m en mouvement couplé solidaire.;🕹️ Manipulateurs au neutre. Vérifier visuellement l'assiette et le comportement de la benne.;🧰 Relever positions codeurs M1 et M2 sur l'IHM. Vérifier si un tambour patine ou si un câble a sauté d'une gorge.;IHM Synchro ➔ Écart brut ABS(CablePosM1 - CablePosM2 + ActiveOffsetM) > 7.0m ➔ TonMecaE = 3s avant coupure puissance;WinchM1Safety.ErrorMecaE AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;742
ALM_020;ACTIVE_ALARM;M1;ErrorID:15;[M1] ErrorID:15 - sens oppose;BLOQUANT (SafeStop/Coupure);🚨 Sens de rotation opposé M1 : le tambour tourne à l'envers de la commande demandée au manipulateur pendant plus de 1s.;🕹️ Ramener le manipulateur au neutre au pupitre. Ne pas forcer la commande.;🧰 Contrôler l'ordre des phases moteur sur contacteurs montée/descente KM1/KM2 en armoire. Vérifier polarité de comptage codeur COD1.;Codeur COD1 Treuil M1 ➔ Mesure : Vitesse signée SignedSpeed_Mps ➔ Attendu : Même polarité que l'ordre RelayFwd/RelayRev;WinchM1Safety.ErrorOppositeDir AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;745
ALM_021;ACTIVE_ALARM;M1;ErrorID:16;[M1] ErrorID:16 - discordance commande/retour/mouvement;BLOQUANT (SafeStop/Coupure);⏱️ Absence de mouvement M1 : commande active et freins ouverts mais aucune progression de câble mesurée après 3s.;🕹️ Ramener manipulateur au neutre. Vérifier visuellement si le câble ou le tambour est bloqué mécaniquement.;🧰 Armoire : vérifier disjoncteur moteur Q_M1 et présence tension 400Vac en sortie contacteurs de sens. Contrôler décollement mécanique frein.;Local_Digital_IO · Borne %IX0.1 (M1_ThermalOk_DI) ➔ Mesure : 400Vac bornes moteur ➔ Attendu repos : 24Vcc sur %IX0.1 et 400Vac en commande;WinchM1Safety.ErrorNoMovement AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;748
