Variable;t=0.752s;t=2.030s;t=3.286s;t=4.609s;t=5.863s;t=7.137s;t=8.437s;t=9.726s;t=11.094s;t=12.351s;t=13.591s
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx101_ModeActive;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1;E_Mode.MAINT_N1
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx102_SimulationEnabled;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx103_JoystickCommOk;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx201_JoystickSelected;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx202_BypassNetworkGlobal;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx203_BypassSensorsGlobal;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx301_EmergencyChainClosed;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx302_PowerContactorEngaged;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx303_SafeStopActiveAny;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx304_PowerCutOffActiveAny;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx401_HmiHeartbeatOk;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx402_CycleAutoBusy;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.B_Inputs.Winch.M1_ContactorsReleased_DI;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M1_ThermalOk_DI;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M1_BrakeIsOpen_DI;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
GVL_Troubleshooting.B_Inputs.Winch.M2_ContactorsReleased_DI;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
