Timestamp_ms;Variable;Value
3;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
104;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
204;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
305;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
406;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
507;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
607;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
708;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
809;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
909;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1009;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1110;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1210;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1310;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1411;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1513;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1613;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1713;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1814;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
1914;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2015;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2115;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2216;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2318;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2419;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2519;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2620;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2722;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2821;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
2921;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3022;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3123;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3224;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3326;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3426;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3527;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;0
3626;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
3726;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
3827;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
3929;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4028;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4129;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4229;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4329;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4431;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4530;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4630;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4732;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4832;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
4933;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5034;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5135;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5236;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5336;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5436;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5536;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5637;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5737;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5837;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
5937;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6039;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6139;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6240;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6342;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6442;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6543;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6645;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6746;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6846;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
6946;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
7047;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
7148;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;2
