Timestamp_ms;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;PRG_03_Modes_Cycle.instCycleSemiAuto.Lifecycle.Busy;PRG_03_Modes_Cycle.instCycleSemiAuto.WaitingForOperator;PRG_03_Modes_Cycle.instCycleSemiAuto.WaitingForProcess;PRG_03_Modes_Cycle.instCycleSemiAuto.Fault.Error;PRG_02_Acquisition.Data.Joystick.DeadmanArmed;PRG_02_Acquisition.Data.Joystick.AtNeutralXY;PRG_02_Acquisition.Data.Joystick.AxisY.Deflection;PRG_02_Acquisition.Data.EncoderM1.Measurement.CablePosM;PRG_02_Acquisition.Data.EncoderM2.Measurement.CablePosM;M1TreuilRetenue.State.StepNumber;M2TreuilBenne.State.StepNumber;M1_M2_KoboldBottomTouch_DI;M1_M2_KoboldMeasureEnable_RQ;M3Translation.State.AtP1;M3Translation.State.AtTremie;M3Translation.State.EstimatedPosM3_M;PRG_04_Treuils_Benne.instWinchStateProjection.InterlockM2.MotorRequest;PRG_06_Outputs.instWinchOutputInterlockM2.MotorRequest;M1_SpeedContactor_3_DQ;M2TreuilBenne.Bucket.State.BucketOpening_Pct;PRG_04_Treuils_Benne.Data.ArmingPermit;PRG_05_Translation.TranslationFinalInterlockRequest.ReqTremieSemantic;M3_CommandWord;M3_SetpointFrequencyHz;M3_BrakeRelease_RQ;IoHw.In.Hardware.Operator.JoyXRaw_ANA1;IoHw.In.Hardware.Operator.JoyYRaw_ANA2;M1TreuilRetenue.Safety.ErrorMecaB;M1TreuilRetenue.Safety.ErrorId;IoHw.In.Hardware.Winch.M1_ContactorsReleased_DI;IoHw.In.Hardware.Winch.M2_ContactorsReleased_DI;GVL_Troubleshooting.I_LevageUnitaireM1.Inputs_100.Idx104_BrakeApplied
3;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
104;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
204;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
305;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
406;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
507;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
607;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
708;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
809;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
909;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1009;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1110;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1210;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1310;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1411;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1513;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1613;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1713;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1814;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
1914;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2015;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2115;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2216;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2318;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2419;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2519;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2620;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2722;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2821;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
2921;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
3022;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
3123;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
3224;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
3326;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
3426;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1
3527;0;0;1;0;0;0;0;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;4605;0;0;1;1;1
3626;2;1;1;0;0;1;0;-11;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;4460;0;0;1;1;1
