Timestamp_ms;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;PRG_03_Modes_Cycle.instCycleSemiAuto.Lifecycle.Busy;PRG_03_Modes_Cycle.instCycleSemiAuto.WaitingForOperator;PRG_03_Modes_Cycle.instCycleSemiAuto.WaitingForProcess;PRG_03_Modes_Cycle.instCycleSemiAuto.Fault.Error;PRG_02_Acquisition.Data.Joystick.DeadmanArmed;PRG_02_Acquisition.Data.Joystick.AtNeutralXY;PRG_02_Acquisition.Data.Joystick.AxisY.Deflection;PRG_02_Acquisition.Data.EncoderM1.Measurement.CablePosM;PRG_02_Acquisition.Data.EncoderM2.Measurement.CablePosM;M1TreuilRetenue.State.StepNumber;M2TreuilBenne.State.StepNumber;M1_M2_KoboldBottomTouch_DI;M1_M2_KoboldMeasureEnable_RQ;M3Translation.State.AtP1;M3Translation.State.AtTremie;M3Translation.State.EstimatedPosM3_M;PRG_04_Treuils_Benne.instWinchStateProjection.InterlockM2.MotorRequest;PRG_06_Outputs.instWinchOutputInterlockM2.MotorRequest;M1_SpeedContactor_3_DQ;M2TreuilBenne.Bucket.State.BucketOpening_Pct;PRG_04_Treuils_Benne.Data.ArmingPermit;PRG_05_Translation.TranslationFinalInterlockRequest.ReqTremieSemantic;M3_CommandWord;M3_SetpointFrequencyHz;M3_BrakeRelease_RQ;IoHw.In.Hardware.Operator.JoyXRaw_ANA1;IoHw.In.Hardware.Operator.JoyYRaw_ANA2;M1TreuilRetenue.Safety.ErrorMecaB;M1TreuilRetenue.Safety.ErrorId;IoHw.In.Hardware.Winch.M1_ContactorsReleased_DI;IoHw.In.Hardware.Winch.M2_ContactorsReleased_DI;GVL_Troubleshooting.I_LevageUnitaireM1.Inputs_100.Idx104_BrakeApplied;IoHw.In.Hardware.Winch.M2_TensionedCable_DI;PRG_07_Supervision.instTroubleshootingView.WinchM2.Safety.ErrorId;PRG_02_Acquisition.instSimBench.MotorIsStalledM1;PRG_02_Acquisition.instSimBench.MotorIsStalledM2
45;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
146;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
247;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
347;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
449;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
549;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
650;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
750;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
850;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
950;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1051;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1152;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1252;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1352;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1453;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1556;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1654;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1755;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1855;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
1956;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2057;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2159;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2260;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2361;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2463;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2562;0;0;1;0;0;0;1;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;5000;0;0;1;1;1;1;0;0;0
2663;0;0;1;0;0;0;0;0;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;4695;0;0;1;1;1;1;0;0;0
2764;2;1;0;1;0;1;0;-14;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;4290;0;0;1;1;1;1;0;0;0
2864;2;1;0;1;0;1;0;-23;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;3840;0;0;1;1;1;1;0;0;0
2964;2;1;0;1;0;1;0;-28;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;3609;0;0;1;1;1;1;0;0;0
3064;2;1;0;1;0;1;0;-32;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;3424;0;0;1;1;1;1;0;0;0
3164;2;1;0;1;0;1;0;-37;8.5;23.5;0;0;0;0;1;0;30;0;0;0;0;1;0;0;0;0;5000;3172;0;0;1;1;1;1;0;0;0
3264;3;1;0;1;0;1;0;-43;8.5;23.449951171875;0;1;0;0;1;0;30;1;1;0;0.3336588442325592;1;0;0;0;0;5000;2839;0;0;1;0;1;1;0;0;0
3364;3;1;0;1;0;1;0;-53;8.5;23.349853515625;0;1;0;0;1;0;30;1;1;0;1.0009765625;1;0;0;0;0;5000;2374;0;0;1;0;1;1;0;0;0
