Timestamp_ms;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;GVL_Troubleshooting.G_CycleSemiAuto.Idx104_DeadmanArmed;PRG_03_Modes_Cycle.instCycleSemiAuto.JoystickPull;PRG_03_Modes_Cycle.instCycleSemiAuto.M1FinalAscentStartReady;PRG_03_Modes_Cycle.instCycleSemiAuto.M2_SpeedStepApplied;PRG_03_Modes_Cycle.instCycleSemiAuto.BucketCmd.ReqHoldAscentP1AfterClose;PRG_03_Modes_Cycle.instCycleSemiAuto.Ax10bFallbackStopActive;PRG_03_Modes_Cycle.instCycleSemiAuto.AscentStartStopTimer.ET;PRG_03_Modes_Cycle.instCycleSemiAuto.Ax10bHandoffWaitTimer.ET;PRG_04_Treuils_Benne.Data.BucketCloseReached;PRG_04_Treuils_Benne.Data.BucketState.MechState.IsClosed;PRG_04_Treuils_Benne.Data.BucketState.BucketOpening_Pct;PRG_04_Treuils_Benne.Data.BucketState.ActiveOffset_M;PRG_04_Treuils_Benne.Data.WinchM1State.Position_M;PRG_04_Treuils_Benne.Data.WinchM2State.Position_M;PRG_04_Treuils_Benne.Data.BucketState.M2PositionCorrected;PRG_04_Treuils_Benne.Data.BucketState.DeltaPositionCorrected_M;PRG_02_Acquisition.Data.EncoderM1.Measurement.Speed_Mps;PRG_02_Acquisition.Data.EncoderM2.Measurement.Speed_Mps;GVL_Troubleshooting.G_CycleSemiAuto.Idx307_M1SpeedStepApplied;GVL_Troubleshooting.G_CycleSemiAuto.Idx308_M2SpeedStepApplied;GVL_Troubleshooting.I_LevageUnitaireM1.Demandes_200.Idx209_ArbitratedDirection;GVL_Troubleshooting.J_LevageUnitaireM2.Demandes_200.Idx209_ArbitratedDirection;PRG_04_Treuils_Benne.Data.WinchM1State.DirectionChangePending;PRG_04_Treuils_Benne.Data.WinchM2State.DirectionChangePending;GVL_Troubleshooting.I_LevageUnitaireM1.Control_400.Idx415_MotorRequest;GVL_Troubleshooting.J_LevageUnitaireM2.Control_400.Idx415_MotorRequest;GVL_Troubleshooting.I_LevageUnitaireM1.Control_400.Idx416_RestartRequired;GVL_Troubleshooting.J_LevageUnitaireM2.Control_400.Idx416_RestartRequired;PRG_04_Treuils_Benne.Data.WinchM2Safety.AscentPermit;PRG_04_Treuils_Benne.Data.WinchM2Safety.CableLimitAscent;PRG_06_Outputs.Data.ContactorMismatch;GVL_Troubleshooting.I_LevageUnitaireM1.Outputs_500.Idx501_CmdRelayAscent_RQ;GVL_Troubleshooting.J_LevageUnitaireM2.Outputs_500.Idx501_CmdRelayAscent_RQ;GVL_Troubleshooting.I_LevageUnitaireM1.Outputs_500.Idx505_CmdBrakeRelease_RQ;GVL_Troubleshooting.J_LevageUnitaireM2.Outputs_500.Idx505_CmdBrakeRelease_RQ;GVL_Troubleshooting.I_LevageUnitaireM1.Inputs_100.Idx103_ContactorsReleased_DI;GVL_Troubleshooting.J_LevageUnitaireM2.Inputs_100.Idx103_ContactorsReleased_DI
9;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
20;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
29;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
39;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
50;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
59;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
69;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
79;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
89;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
99;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
109;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
121;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
129;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
139;14;0;0;1;0;0;0;0;0;1;1;0.1611328125;15;8.02294921875;22.998779296875;8.02294921875;-0.024169921875;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
