Timestamp_ms;M3_PosTremie_DI;M3_PosPVP2_DI;M3_PosPV_DI;M3_PosP1_DI;M3_PosMaintenance_DI;M3_BrakeIsOpen_DI;M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;TranslationM3.Safety.Error;TranslationM3.Safety.ErrorId;TranslationM3.State.Error;TranslationM3.State.ErrorId
37;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
1937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
2937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
