Variable;Valeur
GVL_IHM.Commun.TopPositionSensorActive;TRUE
GVL_IHM.Commun.BrakeThermalFault;TRUE
GVL_IHM.Commun.PhaseRotationFault;TRUE
GVL_IHM.Commun.LimitLegalReached;FALSE
GVL_IHM.Commun.Cfg.LimitLegalDepthMinAllowed_M;REAL#-15
GVL_IHM.Commun.Cfg.LimitLegalEnabled;TRUE
GVL_IHM.Commun.Cfg.SelHomingApproachEnable;FALSE
GVL_IHM.Commun.Cfg.WinchMaxStepDescente;INT#3
GVL_IHM.Commun.Cfg.WinchMaxStepAscent;INT#5
GVL_IHM.Commun.Cfg.WinchSlowdownDistance_M;REAL#1
GVL_IHM.Commun.Cfg.WinchSlowdownMaxStep;INT#1
GVL_IHM.Commun.Cfg.TglEnableKoboldAutoStopDescent;FALSE
GVL_IHM.Commun.Cfg.TglEnableCoupledBucketSequencing;FALSE
GVL_IHM.Commun.Cfg.Initialized;TRUE
GVL_IHM.Commun.HydraulicThermalFault;TRUE
GVL_IHM.Commun.Bypass.Global;FALSE
GVL_IHM.Commun.Bypass.SlackCable;FALSE
GVL_IHM.Commun.Bypass.TopLimitSwitch;FALSE
GVL_IHM.Commun.Bypass.TopLimitSoftware;FALSE
GVL_IHM.Commun.Bypass.CableLimitSwitch;FALSE
GVL_IHM.Commun.Bypass.LimitLegal;FALSE
GVL_IHM.Commun.Bypass.Initialized;TRUE
GVL_IHM.Commun.SimTopSensorBypassActive;FALSE
GVL_IHM.Commun.SimSlackCableBypassActive;FALSE
GVL_IHM.Commun.TglHeartbeatIhm;FALSE
GVL_IHM.Commun.TglHeartbeatPlc;FALSE
GVL_IHM.Commun.HeartbeatIhmOk;TRUE
GVL_IHM.Commun.HeartbeatIhmTimeout;FALSE
GVL_IHM.Commun.HeartbeatIhmElapsed;TIME#830ms
GVL_IHM.Commun.BtnWinchBothUp;FALSE
GVL_IHM.Commun.BtnWinchBothDown;FALSE
GVL_IHM.Commun.ConfigRestoredFromPersistent;TRUE
GVL_IHM.Commun.BtnAckConfigRestored;FALSE
GVL_IHM.Commun.Preflight.BtnRun;FALSE
GVL_IHM.Commun.Preflight.PreflightOk;FALSE
GVL_IHM.Commun.Preflight.PreflightDone;FALSE
GVL_IHM.Commun.Preflight.PreflightBusy;TRUE
GVL_IHM.Commun.Preflight.PreflightErrorId;WORD#0
GVL_IHM.Commun.WinchSymmetry.BtnReset;FALSE
GVL_IHM.Commun.WinchSymmetry.SymmetryOk;FALSE
GVL_IHM.Commun.WinchSymmetry.SymmetryValid;FALSE
GVL_IHM.Commun.WinchSymmetry.DeltaStartDelay_Ms;UDINT#0
GVL_IHM.Commun.WinchSymmetry.DeltaBrakeReleaseTime_Ms;UDINT#0
GVL_IHM.Commun.WinchSymmetry.DeltaBrakeApplyTime_Ms;UDINT#0
GVL_IHM.Commun.WinchSymmetry.DeltaStopDistance_M;REAL#0
GVL_IHM.Commun.WinchSymmetry.DeltaStopTime_Ms;UDINT#0
GVL_IHM.Commun.WinchSymmetry.MaxSyncDeviation_M;REAL#0
GVL_IHM.Commun.KoboldImmersionConfirmed;FALSE
GVL_IHM.Commun.KoboldBottomTouchLatched;FALSE
GVL_IHM.Cycle.Cmd.BtnStart;FALSE
GVL_IHM.Cycle.Cmd.BtnPause;FALSE
GVL_IHM.Cycle.Cmd.BtnAbort;FALSE
GVL_IHM.Cycle.Cmd.BtnReset;FALSE
GVL_IHM.Cycle.State.Ready;FALSE
GVL_IHM.Cycle.State.Busy;FALSE
GVL_IHM.Cycle.State.Done;FALSE
GVL_IHM.Cycle.State.Error;FALSE
GVL_IHM.Cycle.State.ErrorId;WORD#0
GVL_IHM.Cycle.State.CycleStep;E_CycleStep.X0_PREPARATION
GVL_IHM.Cycle.State.CycleStateStr;'X0 - Désactivé : sécurité absente ou auto désactivé'
GVL_IHM.Cycle.State.SelTarget;INT#0
GVL_IHM.Cycle.State.KoboldContactFond;FALSE
GVL_IHM.Cycle.State.KoboldContactorCmd;FALSE
GVL_IHM.Cycle.State.LimitLegalReached;FALSE
GVL_IHM.Cycle.State.LimitLegalDepth_M;REAL#-15
GVL_IHM.Cycle.State.WinchSyncError;FALSE
GVL_IHM.Cycle.State.WinchSyncDelta_M;REAL#0
GVL_IHM.Cycle.State.SpeedMismatch_Mps;REAL#0
GVL_IHM.Cycle.State.SpeedMismatchActive;FALSE
GVL_IHM.Cycle.State.SpeedMismatchConfirmed;FALSE
GVL_IHM.Cycle.State.M1Position_M;REAL#0
GVL_IHM.Cycle.State.M2Position_M;REAL#0
GVL_IHM.Cycle.State.DeadmanArmed;FALSE
GVL_IHM.Cycle.State.JoystickMotionActive;FALSE
GVL_IHM.Cycle.State.MotionPermit;FALSE
