Variable;Valeur
GVL_Troubleshooting.AssistanceDragage.Idx101_EnableDiveSearch;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx102_EnableExtractionSequence;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx103_EnableDumpAtTremie;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx201_DiveReady;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx202_DiveBusy;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx203_DiveDone;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx204_DiveState;E_DiveSearchState.SEARCHING_IMMERSION
GVL_Troubleshooting.AssistanceDragage.Idx205_DiveError;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx206_DiveErrorId;WORD#0
GVL_Troubleshooting.AssistanceDragage.Idx207_BottomTouchConfirmed;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx301_ExtractionReady;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx302_ExtractionBusy;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx303_ExtractionDone;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx304_ExtractionState;E_ExtractionSequenceState.WAIT_BOTTOM_CONFIRMATION
GVL_Troubleshooting.AssistanceDragage.Idx305_ExtractionError;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx306_ExtractionErrorId;WORD#0
GVL_Troubleshooting.AssistanceDragage.Idx401_OperatorActionId;WORD#258
GVL_Troubleshooting.AssistanceDragage.Idx402_OperatorAction;'Maintenir la descente : recherche immersion Kobold.'
GVL_Troubleshooting.AssistanceDragage.Idx501_DumpAtTremieArmed;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx502_DumpAtTremieAssistActive;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx503_DumpAtTremieAtTremie;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx504_DumpAtTremieBucketOpenArmed;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx505_DumpAtTremieDescentLocked;TRUE
GVL_Troubleshooting.AssistanceDragage.Idx601_BypassDiveActive;FALSE
